PERIODO,CO2 BEV,VEHICULOS BEV,CO2 BEV mitjana,CO2 Combustión,VEHICULOS Combustión,CO2 Combustión mitjana,CO2 GLP,VEHICULOS GLP,CO2 GLP mitjana,CO2 GNC,VEHICULOS GNC,CO2 GNC mitjana,CO2 HEV,VEHICULOS HEV,CO2 HEV mitjana,CO2 PHEV,VEHICULOS PHEV,CO2 PHEV mitjana,CO2 REEV,VEHICULOS REEV,CO2 REEV mitjana,CO2 GNL,VEHICULOS GNL,CO2 GNL mitjana,CO2 Hidrógeno,VEHICULOS Hidrógeno,CO2 Hidrógeno mitjana
2020-05,0.0,425,0.0,4391030.151717173,35675,123.0842369086804,33669.0,319,105.54545454545455,21288.0,208,102.34615384615384,503529.0,4731,106.43183259353202,28721.0,759,37.84057971014493,262.0,9,29.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,153.0,900,0.17,10462111.74920555,85246,122.72847698666858,84344.0,795,106.09308176100629,44736.603833136236,411,108.8481845088473,1236714.0,11907,103.8644494834971,59355.13380902125,1510,39.30803563511341,447.6923076923077,16,27.98076923076923,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,92.0,1641,0.056063375990249846,14059035.857853753,115119,122.12611174396714,186544.0,1671,111.6361460203471,56377.21041053575,538,104.7903539229289,1892808.1035501042,18432,102.6914118679527,93335.0,2436,38.31486042692939,570.1190476190476,20,28.50595238095238,167.0,1.0,167.0,0.0,0.0,0.0
2020-08,118.0,1365,0.08644688644688645,8350821.086050769,67530,123.6609075381426,111325.0,1023,108.82209188660802,31186.76112248774,292,106.80397644687582,1058284.0,10368,102.07214506172839,53878.05513542404,1371,39.298362607894994,277.75,11,25.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,1.0,2370,0.0004219409282700422,8805200.959072363,71069,123.89650845055316,156099.0,1419,110.00634249471459,30097.43399315738,274,109.84464961006344,1252291.0450306924,12201,102.63839398661523,78737.38570719042,2028,38.8251408812576,420.66666666666663,13,32.35897435897436,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,79.0,2066,0.03823814133591481,9274220.265725244,74847,123.90904466077791,189646.0,1718,110.38766006984866,36002.0,335,107.46865671641791,1386444.9741133533,13479,102.85963158345228,99056.85908811969,2561,38.67897660606001,545.1372549019608,24,22.714052287581698,819.0,5.0,163.8,0.0,0.0,0.0
2020-11,111.0,2171,0.051128512206356516,8892829.116202297,72143,123.2666941519246,167373.0,1501,111.50766155896069,46002.40718955169,349,131.8120549843888,1632502.333087207,15710,103.91485251987314,116032.30523643462,3077,37.709556462929676,658.8333333333333,20,32.94166666666666,159.0,1.0,159.0,0.0,0.0,0.0
2020-12,48.0,4586,0.010466637592673354,10921878.386456734,90062,121.27066228216933,188140.0,1692,111.19385342789599,22843.0,185,123.47567567567567,2443234.2376229083,23023,106.12145409472737,243853.37643382198,6545,37.25796431380015,572.3888888888889,16,35.77430555555556,0.0,0.0,0.0,139.0,1.0,139.0
2021-01,13.0,592,0.02195945945945946,5892504.927172615,41194,143.04279572686835,97930.0,761,128.68593955321944,37278.242006116736,331,112.62308763177262,1139116.0199989933,9206,123.73626113393365,56200.99863807845,1465,38.362456408244675,157.5,7,22.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,13.0,1081,0.012025901942645698,8049534.1711046165,55906,143.98336799457334,95379.09445588142,707,134.90678140860172,31275.89120671716,246,127.13776913299658,1739147.57353606,13450,129.30465230751375,85014.51852959281,2224,38.22595257625576,393.6,16,24.6,0.0,0.0,0.0,121.0,1.0,121.0
2021-03,25.0,2227,0.01122586439155815,11134739.647272667,78216,142.3588478990573,153586.0,1187,129.39005897219883,30590.614800094358,223,137.17764484347245,2490052.1211005016,19161,129.95418407705765,136518.97884318762,3639,37.515520429565164,811.8076923076924,20,40.59038461538462,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,1.0,1769,0.0005652911249293386,10038391.510542717,70660,142.0661125182949,183072.0,1455,125.82268041237113,14921.895882267652,117,127.53757164331327,2417143.7150123687,18549,130.31126826310683,118019.0,3131,37.693708080485465,826.0,15,55.06666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,70.0,2018,0.03468780971258672,11719593.005814696,83129,140.98080099381318,111563.3448690618,889,125.49307634315163,13914.0,102,136.41176470588235,2872116.8591289306,22569,127.25937609681114,168017.825546323,4533,37.06548103823582,329.3333333333333,9,36.59259259259259,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,257.0,2833,0.09071655488881045,11030946.548517488,78520,140.48581951754315,138887.76071908994,1137,122.15282385144235,21594.75808470897,136,158.78498591697772,3347872.6763710706,26572,125.99249873442234,173775.0,4551,38.18391562294001,443.75,10,44.375,206.0,1.0,206.0,0.0,0.0,0.0
